name,rating,review_count,address,cuisine,price,yelp_url
Mr. Pickle's Sandwich Shop,3.9,149,"2191 Cowell Blvd, Ste F, Davis, CA 95618","['Sandwiches', 'New American', 'Soup']",$,https://www.yelp.com/biz/h2lyOO6bi5Ii4Q5mYmbCLA
Taco Bell,2.4,93,"425 G Street, Davis, CA 95616","['Fast Food', 'Mexican']",$,https://www.yelp.com/biz/Mn2ehkvG7_M5YaNpwq3iPw
Jack in the Box,2.0,146,"337 G St, Davis, CA 95616","['Fast Food', 'Burgers', 'Tacos']",$,https://www.yelp.com/biz/ZliRrg2z-KQxHliNgquplg
The Golden Nile,0.0,0,"Davis, CA 95616","['Halal', 'Egyptian', 'Food Delivery Services']",Unknown,https://www.yelp.com/biz/1KDUd2Wuyi5Qx5_fkx7uhA
Pizza Guys,3.7,113,"505 L St, Davis, CA 95616","['Pizza', 'Chicken Wings']",$,https://www.yelp.com/biz/yqx0ZA0IDOdZYlsNOlAHjw
Chipotle Mexican Grill,2.7,315,"227 E St, Ste 1, Davis, CA 95616","['Mexican', 'Fast Food']",$$,https://www.yelp.com/biz/3slTIjiepraU1gq3sPrwUg
Lamppost Pizza,4.1,273,"1260 Lake Blvd, Ste 113, Davis, CA 95616","['Pizza', 'Sports Bars']",$$,https://www.yelp.com/biz/1Lu7Mqip_YJ3zkm9WAxT4w
Cenario's Pizza of Davis,3.7,112,"1300 E Covell Blvd, Ste B, Davis, CA 95616","['Pizza', 'Chicken Wings', 'Italian']",$,https://www.yelp.com/biz/5n4BZZ3Bc_uv7h5hfcw96g
McDonald's,2.6,208,"4444 Chiles Rd, Davis, CA 95616","['Fast Food', 'Burgers', 'Coffee & Tea']",$,https://www.yelp.com/biz/gqRDktIJhDi1YeBCasQOyg
Bare Juices,3.8,16,"Davis, CA 95616","['Juice Bars & Smoothies', 'Food Stands']",Unknown,https://www.yelp.com/biz/XulN2hzohxndgCBEK1KeAQ
Beach Hut Deli,3.2,198,"4515 Fermi Pl, Davis, CA 95618","['Sandwiches', 'Delis', 'Salad']",$$,https://www.yelp.com/biz/lxUbp7TYundAUABLWv4kZg
